pilot_id,source_audit,reliability_type,kappa,Company Name,Year,Sentence,ESG_dim,FinBERT_sentiment,Corporate_or_Contextual,Genuine_ESG_or_FalsePositive,E_label_correct,Confidence,Notes
audit2_E_random50_076,audit2_E_random50,reviewed_pass,,PIC,2018,"As a result of its role in promoting rural revitalization, the Group achieved RMB26.72 billion in gross written premiums from agricultural insurance, representing a 21% increase compared to the corresponding period the previous year.",E,positive,Corporate,Genuine,No,Medium,"Genuine ESG, but E incorrect. Rural revitalization and agricultural insurance are framed as social/economic business activity; the premium figures are concrete, but they do not make the sentence environmentally specific."
audit2_E_random50_077,audit2_E_random50,reviewed_pass,,Munich RE,2023,We also made considerable progress last year on decarbonisation.,E,positive,Corporate,Genuine,Yes,Medium,Genuine ESG; E correct. Decarbonisation is an explicit environmental objective. The sentence claims progress but provides no metric or specific action.
audit2_E_random50_078,audit2_E_random50,reviewed_pass,,Tokio Marine,2019,"Japan was struck by several massive natural disasters, but overall financial results were supported by the strong performance of our international insurance business.",E,positive,Contextual,Genuine,Yes,Medium,Genuine ESG; E correct. Large natural disasters are used as contextual environmental/natural-hazard background to explain financial performance; the disasters themselves are substantive rather than incidental trigger words.
audit2_E_random50_079,audit2_E_random50,reviewed_pass,,Munich RE,2020,This also means that we will withdraw from insurance business and insurance income associated with fossil fuels.,E,neutral,Corporate,Genuine,Yes,High,Genuine ESG; E correct. Withdrawal from insurance business and income associated with fossil fuels is a concrete environmental underwriting policy.
audit2b_E_random20_080,audit2b_E_random20,blind_independent,1.0,Tokio Marine,2022,"In the face of growing climate change risks, the need for natural disaster protection and mitigation is also increasing.",E,positive,Contextual,Genuine,Yes,High,"Genuine ESG; E correct. The sentence explicitly links climate change to increasing natural-disaster protection and mitigation needs. The environmental content is clear, but it is contextual rather than a statement of firm-specific environmental action."
audit2b_E_random20_081,audit2b_E_random20,blind_independent,1.0,Zurich,2014,We are working to increase flood resilience in at-risk communities through our innovative flood resilience alliance.,E,positive,Corporate,Genuine,Yes,High,Genuine ESG; E correct. Zurich describes a concrete corporate initiative to increase flood resilience in at-risk communities through its flood resilience alliance. The sentence contains both a natural-hazard dimension and a specific risk-mitigation action.
audit2b_E_random20_082,audit2b_E_random20,blind_independent,1.0,Zurich,2012,"We are able to report solid profitability in 2012 despite a challenging market environment, the occurrence of Storm Sandy and a disappointing result in our German General Insurance business.",E,negative,Contextual,Genuine,Yes,Medium,Genuine ESG; E correct. Storm Sandy is a substantive natural-catastrophe event used to explain the firm's financial performance. The environmental content is contextual rather than a sustainability commitment or environmental action.
audit2b_E_random20_083,audit2b_E_random20,blind_independent,1.0,Swiss RE,2021,"While carbon removal technologies are still evolving, we are pleased that we were already able to compensate 35% of residual emissions in this way in 2021.",E,positive,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The sentence reports a quantified corporate action on residual emissions, stating that 35% were compensated through carbon-removal technologies in 2021. This is direct environmental performance information."
audit2b_E_random20_084,audit2b_E_random20,blind_independent,1.0,Chubb,2021,Natural catastrophes are a growing risk that requires continuous management.,E,neutral,Contextual,Genuine,Yes,High,"Genuine ESG; E correct. Natural catastrophes are explicitly identified as a growing risk requiring management. This is substantive environmental/natural-hazard risk content, although no specific corporate action is described."
audit2b_E_random20_085,audit2b_E_random20,blind_independent,1.0,Power Corp Canada,2017,The 2017 year-to-date adjusted net earnings included a loss of $175 million related to estimated hurricane claims reflected in the third quarter 2017 results.,E,negative,Contextual,Genuine,Yes,Medium,Genuine ESG; E correct. Estimated hurricane claims are used to explain a material loss in financial results. The environmental signal comes from a realized natural-catastrophe exposure and is therefore contextual rather than an environmental strategy statement.
audit2b_E_random20_086,audit2b_E_random20,blind_independent,1.0,Chubb,2021,"At the end of 2019, we achieved the first of two goals by reducing emissions 22% from a 2016 baseline, exceeding our goal of 20% 20 by 2025.",E,positive,Corporate,Genuine,Yes,High,Genuine ESG; E correct. Chubb reports a quantified emissions reduction of 22% from a 2016 baseline and states that this exceeded its 20% target. This is a specific and measurable environmental performance claim.
audit2b_E_random20_087,audit2b_E_random20,blind_independent,1.0,MSAD,2014,"Three Key Words–“Diversity,” “Challenges,” and “Speed” Attaining the Objectives of the New Medium-Term Management Plan–“Next Challenge 2017” Since the inauguration of the MS&AD Insurance Group in April 2010, the Group has endeavored to carry out its mission–“To contribute to the development of a vibrant society and help secure a sound future for the earth, by bringing security and safety through the global insurance and financial services business.",E/S,positive,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The corporate mission explicitly includes contributing to society and securing a sound future for the earth. The sentence therefore contains both social and environmental content, consistent with the E/S label."
audit2b_E_random20_088,audit2b_E_random20,blind_independent,1.0,MSAD,2023,The major directions of our efforts are Carbon Neutral (decarbonization and a response to climate change) and Nature Positive (improvement of the sustainability of natural capital).,E,neutral,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The sentence explicitly identifies decarbonization, climate-change response, and natural-capital sustainability as the major directions of the firm's efforts. The environmental classification is unambiguous."
audit2b_E_random20_089,audit2b_E_random20,blind_independent,1.0,Chubb,2020,As insurers we have a front row seat to the catastrophes climate change brings.,E,neutral,Contextual,Genuine,Yes,High,"Genuine ESG; E correct. Climate change is directly identified as a source of catastrophes observed by insurers. The environmental meaning is explicit, but the sentence is primarily contextual rather than a statement of a specific corporate response."
audit2b_E_random20_090,audit2b_E_random20,blind_independent,1.0,MSAD,2022,"For example, through tying up with a U.S. start-up firm, we have been utilizing AI to display flood risks worldwide on our website and using this to provide climate change consulting.",E,neutral,Corporate,Genuine,Yes,High,Genuine ESG; E correct. The firm describes a concrete use of AI to map global flood risk and provide climate-change consulting. This is a specific environmental risk-management service.
audit2b_E_random20_091,audit2b_E_random20,blind_independent,1.0,Allianz,2018,"As we implement our Renewal Agenda 2.0, we will move up a gear.",E,positive,Corporate,FalsePositive,No,High,"False positive; E incorrect. 'Renewal Agenda 2.0' is the name of a corporate transformation programme, and the sentence contains no environmental issue, action, impact, target, or natural-hazard content."
audit2b_E_random20_092,audit2b_E_random20,blind_independent,1.0,Tokio Marine,2022,"The Group has joined the Net-Zero Insurance Alliance (NZIA), a global initiative, as the first Japanese member, to initiate industry-based discussions on climate actions.",E,positive,Corporate,Genuine,Yes,High,Genuine ESG; E correct. Joining the Net-Zero Insurance Alliance and initiating industry discussions on climate action are explicit corporate environmental commitments.
audit2b_E_random20_093,audit2b_E_random20,blind_independent,1.0,Travelers,2012,"Jay S. Fishman Chairman and Chief Executive Officer INDUSTRY UNDERWRITING ENVIRONMENT — IMPACT OF CATASTROPHES Metric 2012 2011 2010 2009 2008 Earned Premiums $22,357 $22,090 $21,432 $21,418 $21,579 Total Revenues $25,740 $25,446 $25,112 $24,680 $24,477 Operating Income $2,441 $1,390 $3,043 $3,600 $3,195 Net Income $2,473 $1,426 $3,216 $3,622 $2,924 Net Income Per Diluted Common Share $6.30 $3.36 $6.62 $6.33 $4.81 Total Investments $73,838 $72,701 $72,722 $74,965 $70,738 Total Assets $104,938 $104,575 $105,631 $110,013 $110,088 Shareholders' Equity $25,405 $24,477 $25,475 $27,415 $25,319 Return On Equity 9.8% 5.7% 12.1% 13.5% 11.4% Operating Return On Equity 11.0% 6.1% 12.5% 14.0% 12.4% Book Value Per Share $67.31 $62.32 $58.47 $52.54 $43.12 Dividends Per Share $1.79 $1.59 $1.41 $1.23 $1.19 HISTORICAL MILESTONES AND COMPANY HERITAGE: 1853:",E,neutral,Contextual,FalsePositive,No,Medium,"False positive; E incorrect. The extracted text is primarily a financial table and document-heading artifact. 'Industry underwriting environment' refers to market conditions, while 'impact of catastrophes' appears only as a heading and is not developed into a substantive environmental statement in the extracted sentence."
audit2b_E_random20_094,audit2b_E_random20,blind_independent,1.0,MSAD,2019,"For example, we will exhibit leadership in cooperation with the United Nations Environment Programme ‒ Finance Initiative (UNEP FI) and initiatives under the Task Force on Climate-related Financial Disclosures (TCFD) (see P.65 for details) and commence specific actions.",E,positive,Corporate,Genuine,Yes,High,Genuine ESG; E correct. The sentence identifies concrete engagement with UNEP FI and the TCFD and states that specific actions will follow. The climate-related environmental intent is explicit.
audit2b_E_random20_095,audit2b_E_random20,blind_independent,1.0,Munich RE,2021,"Our first green bond, issued in 2020, generated €1.3bn in proceeds – all of which we have since invested in eight sustainable projects.",E/S,positive,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. Munich Re reports €1.3 billion of green-bond proceeds invested in eight sustainable projects. The green-bond context provides a clear environmental basis, while the broader E/S label remains plausible because the projects are not individually specified."
audit2b_E_random20_096,audit2b_E_random20,blind_independent,1.0,Chubb,2018,Climate risk is complex and requires a deep and evolving understanding of the physical processes causing weather extremes.,E,neutral,Contextual,Genuine,Yes,High,Genuine ESG; E correct. The sentence explicitly discusses climate risk and the physical processes causing weather extremes. This is substantive environmental risk content rather than an incidental use of an environmental trigger word.
audit2b_E_random20_097,audit2b_E_random20,blind_independent,1.0,Ping An,2021,"Ping An’s environmentally sustainable insurance premium income totaled RMB44,569 million in 2021.",E/S,neutral,Corporate,Genuine,Yes,High,"Genuine ESG; E correct. The sentence quantifies premium income from environmentally sustainable insurance, making the environmental business activity explicit. The E component of the E/S label is clearly supported."
audit2b_E_random20_098,audit2b_E_random20,blind_independent,1.0,Sompo,2017,"Further, based on strategic risk management, in other words, ERM (enterprise risk management), we will continue selling strategic-holding stocks and strengthen control of natural disaster risk to enhance the capital buffer.",E,positive,Corporate,Genuine,Yes,Medium,"Genuine ESG; E correct. The firm explicitly states that it will strengthen control of natural-disaster risk as part of enterprise risk management. The environmental dimension is genuine, although the primary purpose is capital and risk management rather than environmental impact."
audit2b_E_random20_099,audit2b_E_random20,blind_independent,1.0,MSAD,2023,A stock of natural capital supports nature’s bounty.,E,neutral,Contextual,Genuine,Yes,High,"Genuine ESG; E correct. Natural capital is an explicitly environmental concept, and the sentence states its ecological role in supporting nature's benefits. The statement is general/contextual rather than firm-specific."
